iter	Passed	Remaining
244	500	1542
245	501	1538
246	503	1533
247	504	1530
248	506	1527
249	508	1524
250	509	1521
251	511	1517
252	512	1512
253	513	1509
254	514	1504
255	516	1500
256	518	1497
257	519	1494
258	521	1491
259	522	1485
260	523	1483
261	525	1480
262	527	1477
263	528	1474
264	530	1470
265	531	1466
266	533	1463
267	534	1458
268	535	1455
269	537	1452
270	538	1449
271	540	1446
272	542	1443
273	543	1440
274	545	1436
275	546	1433
276	548	1430
277	549	1427
278	550	1423
279	552	1421
280	554	1419
281	556	1415
282	557	1412
283	558	1408
284	560	1405
285	561	1402
286	563	1399
287	564	1396
288	566	1393
289	568	1391
290	570	1389
291	571	1386
292	573	1383
293	574	1380
294	576	1377
295	577	1374
296	579	1371
297	580	1368
298	582	1366
299	583	1362
300	585	1359
301	586	1356
302	588	1353
303	590	1350
304	591	1348
305	593	1345
306	594	1342
307	596	1340
308	598	1338
309	600	1335
310	601	1332
311	603	1330
312	605	1328
313	606	1325
314	608	1323
315	610	1322
316	613	1320
317	614	1318
318	616	1315
319	617	1313
320	619	1310
321	621	1308
322	622	1305
323	624	1303
324	626	1301
325	628	1299
326	629	1296
327	631	1294
328	633	1291
329	634	1288
330	636	1285
331	637	1283
332	639	1280
333	641	1278
334	643	1277
335	645	1276
336	647	1273
337	649	1271
338	650	1269
339	652	1266
340	653	1263
341	656	1262
342	659	1263
343	661	1261
344	664	1260
345	665	1258
346	667	1255
347	668	1253
348	672	1255
349	675	1254
350	677	1252
351	679	1250
352	680	1248
353	682	1245
354	684	1243
355	686	1242
356	689	1242
357	691	1240
358	693	1237
359	695	1235
360	696	1233
361	698	1230
362	700	1229
363	703	1228
364	705	1227
365	707	1226
366	709	1224
367	711	1221
368	713	1219
369	716	1219
370	719	1220
371	721	1218
372	723	1215
373	724	1213
374	726	1210
375	727	1207
376	729	1205
377	732	1205
378	735	1205
379	737	1202
380	738	1200
381	740	1197
382	741	1194
383	743	1191
384	745	1190
385	747	1188
386	750	1188
387	751	1185
388	753	1182
389	754	1180
390	756	1177
391	757	1175
392	759	1172
393	760	1170
394	764	1170
395	765	1168
396	767	1165
397	768	1162
398	770	1160
399	771	1157
400	773	1155
401	775	1153
402	778	1153
403	780	1150
404	782	1148
405	783	1146
406	786	1145
407	788	1144
408	790	1141
409	792	1140
410	794	1138
411	796	1136
412	797	1133
413	798	1130
414	800	1128
415	802	1126
416	807	1128
417	809	1126
418	810	1124
419	812	1122
420	814	1119
421	815	1117
422	816	1114
423	818	1112
424	820	1110
425	822	1108
426	824	1105
427	825	1103
428	827	1100
429	828	1098
430	830	1096
431	832	1093
432	834	1092
433	836	1091
434	838	1089
435	840	1086
436	841	1084
437	843	1081
438	844	1079
439	846	1076
440	847	1074
441	849	1072
442	852	1071
443	853	1069
444	855	1066
445	857	1064
446	858	1062
447	860	1059
448	861	1057
449	863	1055
450	866	1054
451	867	1052
452	869	1049
453	870	1046
454	871	1044
